,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
462,629,True,51.45995384,false,-0.190184054,"Morie Street, Wandsworth",11,28,16,False,200187,2013-10-11,
463,470,True,51.530535,false,-0.025492,"Mostyn Grove, Bow",41,46,5,False,200174,2012-01-17,
464,586,True,51.490645,false,-0.014582,"Mudchute DLR, Cubitt Town",7,31,23,False,200092,2012-03-15,
465,63,True,51.53089041,false,-0.089782579,"Murray Grove , Hoxton",26,27,0,False,989,2010-07-10,
466,126,True,51.51782144,false,-0.096496865,"Museum of London, Barbican",1,52,51,False,1043,2010-07-15,
467,623,True,51.46193072,false,-0.180791784,"Nantes Close, Wandsworth",21,22,1,False,200186,2013-10-07,
468,454,True,51.487679,false,-0.021582,"Napier Avenue, Millwall",3,20,17,False,200046,2012-01-09,
469,378,True,51.49559291,false,-0.179077626,"Natural History Museum, South Kensington",6,42,36,False,2677,2011-01-27,
470,538,True,51.508981,false,-0.00699,"Naval Row, Blackwall",18,21,3,False,200050,,
471,46,True,51.507131,false,-0.06691,"Nesham Street, Wapping",12,16,4,False,1031,2010-07-09,
472,332,True,51.49334336,false,-0.194757949,"Nevern Place, Earl's Court",11,20,9,False,1210,2010-07-26,
473,684,True,51.45475251,false,-0.195197203,"Neville Gill Close, Wandsworth",31,32,1,False,200188,2013-11-07,
474,581,True,51.519167,false,-0.147983,"New Cavendish Street, Marylebone",6,18,12,False,200005,2012-03-16,
475,546,True,51.517428,false,-0.107987,"New Fetter Lane, Holborn",0,21,20,False,200044,,
476,9,True,51.5073853,false,-0.096440751,"New Globe Walk, Bankside",1,19,18,False,1015,2010-07-04,
477,58,True,51.52452699,false,-0.079248081,"New Inn Yard, Shoreditch",10,20,10,False,1032,2010-07-10,
478,156,True,51.49443626,false,-0.092921165,"New Kent Road, The Borough",14,33,19,False,966,2010-07-16,
479,328,True,51.53114,false,-0.086016,"New North Road 2, Hoxton",21,22,1,False,2641,2010-07-26,
480,206,True,51.518154,false,-0.062697,"New Road 1 , Whitechapel",31,36,5,False,1171,2010-07-18,
481,813,True,51.4878074485,false,-0.122759625866,"New Spring Gardens Walk, Vauxhall",32,37,5,False,300224,2016-07-04,
482,530,True,51.508896,false,-0.012413,"Newby Place, Poplar",17,18,1,False,200146,,
483,71,True,51.5154186,false,-0.098850915,"Newgate Street , St. Paul's",2,34,32,True,1074,2010-07-12,
484,751,True,51.51612862,false,-0.120909408,"Newton Street, Covent Garden",6,24,17,False,300074,2013-12-05,
485,626,True,51.48438657,false,-0.20481514,"Normand Park, West Kensington",24,24,0,False,300008,2013-10-16,
486,828,True,51.473874,false,-0.11258096,"Normandy Road, Stockwell",12,32,19,False,300225,2018-02-05,
487,180,True,51.5129118,false,-0.153645496,"North Audley Street, Mayfair",5,17,12,False,1126,2010-07-16,
488,279,True,51.51862243,false,-0.176645823,"North Wharf Road, Paddington",16,25,9,False,1108,2010-07-21,
